"No.","Radio ID","Name","Call Type","Call Alert"
"1","16777215","ALL Calls","All Call","None"
"2","1","Worldwide","Group Call","None"
"3","5","AU Nets","Group Call","None"
"4","6","D-Star Refl","Group Call","None"
"5","8","State Linked","Group Call","None"
"6","9","Local","Group Call","None"
"7","13","Worldwide Eng","Group Call","None"
"8","30","JOTA","Group Call","None"
"9","91","BM Worldwide","Group Call","None"
"10","95","BM AU/NZ","Group Call","None"
"11","100","Tech Talk","Group Call","None"
"12","113","User Act Eng 1","Group Call","None"
"13","123","User Act Eng 2","Group Call","None"
"14","133","DMR+ USA","Group Call","None"
"15","143","DMR+ UK","Group Call","None"
"16","153","DMR+ South Pac","Group Call","None"
"17","505","AU","Group Call","None"
"18","913","BM Worldwide Eng","Group Call","None"
"19","923","BM Europe Eng","Group Call","None"
"20","3801","ACT","Group Call","None"
"21","3802","NSW","Group Call","None"
"22","3803","Vic","Group Call","None"
"23","3804","Qld","Group Call","None"
"24","3805","SA","Group Call","None"
"25","3806","WA","Group Call","None"
"26","3807","Tas","Group Call","None"
"27","3808","NT","Group Call","None"
"28","3809","AU Repeater 1","Group Call","None"
"29","3810","AU Repeater 2","Group Call","None"
"30","4000","Disconnect","Group Call","None"
"31","5000","Repeater Status","Group Call","None"
"32","5050","BM AU","Group Call","None"
"33","5051","BM ACT","Group Call","None"
"34","5052","BM NSW","Group Call","None"
"35","5053","BM Vic","Group Call","None"
"36","5054","BM Qld","Group Call","None"
"37","5055","BM SA","Group Call","None"
"38","5056","BM WA","Group Call","None"
"39","5057","BM Tas","Group Call","None"
"40","5058","BM NT","Group Call","None"
"41","50566","BM WICEN","Group Call","None"
"42","505001","BM Local","Group Call","None"
